catalogNumber,assigned_tier,ucs_score,solidity,midrib_angle,symmetry_reconstructed,mask_path,leaf_index,petiole_length_px,lamina_length_px,status
00442384,2,0.8444,0.8126,-49.0,TRUE,data/masks/tier2_reflected/00442384_reflected_40.png,40,8.6,42.72,TIER_2_SYMMETRY_REFLECTED_LOWER
00442384,2,0.688,0.6278,-76.34,TRUE,data/masks/tier2_reflected/00442384_reflected_41.png,41,95.0,11.0,TIER_2_SYMMETRY_REFLECTED_UPPER
00442384,2,0.7193,0.549,64.12,TRUE,data/masks/tier2_reflected/00442384_reflected_42.png,42,34.41,13.04,TIER_2_SYMMETRY_REFLECTED_UPPER
00442384,2,0.8053,0.7091,45.5,TRUE,data/masks/tier2_reflected/00442384_reflected_43.png,43,44.55,5.0,TIER_2_SYMMETRY_REFLECTED_LOWER
00442384,1,0.9017,0.8503,-88.38,FALSE,data/masks/tier1_intact/00442384_leaf_44.png,44,13.15,20.4,TIER_1_INTACT_EXTRACTED
00442384,2,0.7164,0.6046,-81.91,TRUE,data/masks/tier2_reflected/00442384_reflected_45.png,45,129.65,14.14,TIER_2_SYMMETRY_REFLECTED_LOWER
00442384,2,0.9018,0.5781,17.24,TRUE,data/masks/tier2_reflected/00442384_reflected_46.png,46,105.31,150.08,TIER_2_SYMMETRY_REFLECTED_UPPER
00442384,2,0.8443,0.7076,87.16,TRUE,data/masks/tier2_reflected/00442384_reflected_47.png,47,32.14,30.07,TIER_2_SYMMETRY_REFLECTED_LOWER
00442384,1,0.8627,0.8183,28.67,FALSE,data/masks/tier1_intact/00442384_leaf_48.png,48,16.64,47.51,TIER_1_INTACT_EXTRACTED
00442384,1,0.8653,0.8291,-33.47,FALSE,data/masks/tier1_intact/00442384_leaf_49.png,49,80.43,9.22,TIER_1_INTACT_EXTRACTED
00442384,1,0.876,0.7397,-79.24,FALSE,data/masks/tier1_intact/00442384_leaf_50.png,50,62.07,7.0,TIER_1_INTACT_EXTRACTED
00442384,1,0.897,0.8372,69.03,FALSE,data/masks/tier1_intact/00442384_leaf_51.png,51,14.32,20.4,TIER_1_INTACT_EXTRACTED
00442384,2,0.9021,0.5148,85.96,TRUE,data/masks/tier2_reflected/00442384_reflected_52.png,52,7.07,35.51,TIER_2_SYMMETRY_REFLECTED_LOWER
