catalogNumber,institutionCode,species_raw,determiner_raw,determiner_tier,type_status,latitude,longitude,coordinateUncertainty,doy,pheno_sin,pheno_cos,regional_group,image_path
317667,WS,Packera paupercula (Michx.) Á.Löve & D.Löve,Melvin D. Strickler,Tier_3_Bronze,None,47.97694,-112.848,1000.0,212,-0.484089,-0.875019,Other_US,data/raw_vouchers/317667.jpg
828421,MIN,Packera paupercula (Michx.) Á.Löve & D.Löve,Alison Mahoney & Sarah Soderholm,Tier_1_Gold,None,48.565217,-96.50758,800.0,177,0.096613,-0.995322,Interior_Prairie_Midwest,data/raw_vouchers/828421.jpg
CM357157,CM,Packera paupercula var. appalachiana A.M.Mahoney,S.P. Grund 2019,Tier_3_Bronze,None,39.822187,-77.769187,3747.0,163,0.331221,-0.943553,Appalachian_Highlands,data/raw_vouchers/CM357157.jpg
979426,MIN,Packera paupercula (Michx.) Á.Löve & D.Löve,"Gerdes, Lynden B.",Tier_3_Bronze,None,47.722969,-91.656397,373.0,175,0.130793,-0.99141,Interior_Prairie_Midwest,data/raw_vouchers/979426.jpg
00116756,COLO,Packera paupercula (Michx.) Á.Löve & D.Löve,David J. Cooper,Tier_3_Bronze,None,39.07582,-105.8556,2000.0,200,-0.294462,-0.955663,Other_US,data/raw_vouchers/00116756.jpg
BHSC0054905,BHSC,Packera paupercula (Michx.) Á.Löve & D.Löve,"Ode, David J.",Tier_3_Bronze,None,44.506878,-103.986156,678.0,181,0.02795,-0.999609,Other_US,data/raw_vouchers/BHSC0054905.jpg
v0005764WIS,WIS,Packera paupercula var. savannarum R.R.Kowal,"Mahoney, Alison",Tier_1_Gold,None,42.858935,-88.58345,285.0,164,0.314942,-0.949111,Interior_Prairie_Midwest,data/raw_vouchers/v0005764WIS.jpg
CSCN-V-0012044,CSCN,Packera paupercula (Michx.) Á.Löve & D.Löve,Steven B. Rolfsmeier,Tier_3_Bronze,None,42.411635,-105.360818,4500.0,175,0.130793,-0.99141,Other_US,data/raw_vouchers/CSCN-V-0012044.jpg
NTSC010162,NTSC,Senecio pauperculus Michx.,F. Shafer,Tier_3_Bronze,None,33.446173,-97.571184,1662.0,111,0.943196,-0.332235,Interior_Prairie_Midwest,data/raw_vouchers/NTSC010162.jpg
3118272,NY,Packera paupercula (Michx.) Á.Löve & D.Löve,S. Goodrich,Tier_3_Bronze,None,40.8798,-109.5196,969.0,166,0.282108,-0.959383,Other_US,data/raw_vouchers/3118272.jpg
1202333,MICH,Packera paupercula var. paupercula,Robert R. Kowal,Tier_1_Gold,None,45.91797,-86.31333,969.0,179,0.062318,-0.998056,Coastal_Plain_Sandhills,data/raw_vouchers/1202333.jpg
1202180,MICH,Packera paupercula var. pseudotomentosa (Mack. & Bush) R.R.Kowal,Robert R. Kowal,Tier_1_Gold,None,42.324287,-84.085407,175.0,147,0.57519,-0.81802,Interior_Prairie_Midwest,data/raw_vouchers/1202180.jpg
1202181,MICH,Packera paupercula var. pseudotomentosa (Mack. & Bush) R.R.Kowal,Robert R. Kowal,Tier_1_Gold,None,42.060222,-84.193461,268.0,130,0.786597,-0.617467,Interior_Prairie_Midwest,data/raw_vouchers/1202181.jpg
DEK00100353,DEK,Packera paupercula (Michx.) Á.Löve & D.Löve,Michael G. Van Buer,Tier_3_Bronze,None,42.107596,-89.047628,150.0,143,0.630072,-0.776537,Interior_Prairie_Midwest,data/raw_vouchers/DEK00100353.jpg
801197,MIN,Packera paupercula var. savannarum R.R.Kowal,Alison Mahoney & Sarah Soderholm,Tier_1_Gold,None,45.262497,-93.027777,251.0,179,0.062318,-0.998056,Interior_Prairie_Midwest,data/raw_vouchers/801197.jpg
908403,MIN,Packera paupercula (Michx.) Á.Löve & D.Löve,Alison Mahoney & Sarah Soderholm,Tier_1_Gold,None,47.072404,-95.244301,1000.0,166,0.282108,-0.959383,Interior_Prairie_Midwest,data/raw_vouchers/908403.jpg
LYN-0005421,LYN,Senecio pauperculus Michx.,"Wieboldt, Thomas F.",Tier_3_Bronze,None,36.932472,-77.343037,2131.0,155,0.457531,-0.889193,Coastal_Plain_Sandhills,data/raw_vouchers/LYN-0005421.jpg
51046,WILLI,Packera paupercula (Michx.) Á.Löve & D.Löve,"Trock, Debra",Tier_1_Gold,None,36.933235,-77.342479,495.0,155,0.457531,-0.889193,Coastal_Plain_Sandhills,data/raw_vouchers/51046.jpg
BHSC0054906,BHSC,Packera paupercula (Michx.) Á.Löve & D.Löve,"Ode, David J.",Tier_3_Bronze,None,44.330768,-103.837889,1004.0,195,-0.211276,-0.977426,Other_US,data/raw_vouchers/BHSC0054906.jpg
3118195,NY,Packera paupercula (Michx.) Á.Löve & D.Löve,S. Goodrich,Tier_3_Bronze,None,40.7928,-109.5387,969.0,218,-0.571667,-0.820486,Other_US,data/raw_vouchers/3118195.jpg
1202314,MICH,Packera paupercula var. paupercula,Robert R. Kowal,Tier_1_Gold,None,42.060382,-84.323467,332.0,130,0.786597,-0.617467,Interior_Prairie_Midwest,data/raw_vouchers/1202314.jpg
1218985,MICH,Packera paupercula var. paupercula,Robert R. Kowal,Tier_1_Gold,None,46.07868,-83.644765,969.0,146,0.589176,-0.808005,Other_US,data/raw_vouchers/1218985.jpg
1202313,MICH,Packera paupercula var. paupercula,Robert R. Kowal,Tier_1_Gold,None,42.065145,-84.316364,98.0,147,0.57519,-0.81802,Interior_Prairie_Midwest,data/raw_vouchers/1202313.jpg
1202239,MICH,Packera paupercula var. paupercula,Robert R. Kowal,Tier_1_Gold,None,46.09287,-86.45833,969.0,179,0.062318,-0.998056,Interior_Prairie_Midwest,data/raw_vouchers/1202239.jpg
1202238,MICH,Packera paupercula (Michx.) Á.Löve & D.Löve,Robert R. Kowal,Tier_1_Gold,None,46.13741,-87.4188,969.0,180,0.045141,-0.998981,Interior_Prairie_Midwest,data/raw_vouchers/1202238.jpg
1202309,MICH,Packera paupercula var. paupercula,Robert R. Kowal,Tier_1_Gold,None,44.714464,-86.06798,802.0,168,0.24894,-0.968519,Coastal_Plain_Sandhills,data/raw_vouchers/1202309.jpg
1218974,MICH,Packera paupercula var. paupercula,Robert R. Kowal,Tier_1_Gold,None,45.0835,-83.44156,969.0,172,0.18176,-0.983343,Other_US,data/raw_vouchers/1218974.jpg
3118069,NY,Packera paupercula (Michx.) Á.Löve & D.Löve,E. J. Neese,Tier_3_Bronze,None,40.157,-106.4761,969.0,191,-0.143572,-0.98964,Other_US,data/raw_vouchers/3118069.jpg
3118160,NY,Packera paupercula (Michx.) Á.Löve & D.Löve,S. Goodrich,Tier_3_Bronze,None,40.8363,-109.4431,969.0,206,-0.391358,-0.920239,Other_US,data/raw_vouchers/3118160.jpg
3118110,NY,Packera paupercula (Michx.) Á.Löve & D.Löve,E. J. Neese,Tier_3_Bronze,None,40.1128,-106.4187,969.0,193,-0.177529,-0.984116,Other_US,data/raw_vouchers/3118110.jpg
3118322,NY,Packera paupercula (Michx.) Á.Löve & D.Löve,S. Goodrich,Tier_3_Bronze,None,40.7446,-109.6426,969.0,199,-0.277979,-0.960587,Other_US,data/raw_vouchers/3118322.jpg
UTC00196437,USU,Senecio pauperculus Michx.,Sherel Goodrich,Tier_3_Bronze,None,40.73528,-109.63611,301.0,199,-0.277979,-0.960587,Other_US,data/raw_vouchers/UTC00196437.jpg
404316,WS,Packera paupercula (Michx.) Á.Löve & D.Löve,Walter Fertig,Tier_3_Bronze,None,42.3397,-107.5327,4828.0,185,-0.040844,-0.999166,Other_US,data/raw_vouchers/404316.jpg
IND-0138444,IND,Packera paupercula (Michx.) Á.Löve & D.Löve,P. E. Rothrock,Tier_3_Bronze,None,45.914761,-84.740751,500.0,186,-0.058026,-0.998315,Interior_Prairie_Midwest,data/raw_vouchers/IND-0138444.jpg
MARY1021866,MARY,Senecio pauperculus Michx.,Edward C. Uebel,Tier_3_Bronze,None,39.412883,-76.834143,1715.0,202,-0.32716,-0.944969,Appalachian_Highlands,data/raw_vouchers/MARY1021866.jpg
1202338,MICH,Packera paupercula var. paupercula,Robert R. Kowal,Tier_1_Gold,None,44.846616,-85.908414,145.0,178,0.079477,-0.996837,Coastal_Plain_Sandhills,data/raw_vouchers/1202338.jpg
1218976,MICH,Packera paupercula var. paupercula,Robert R. Kowal,Tier_1_Gold,None,45.06878,-83.48159,969.0,175,0.130793,-0.99141,Other_US,data/raw_vouchers/1218976.jpg
781489,MIN,Packera paupercula (Michx.) Á.Löve & D.Löve,"Smith, Welby",Tier_3_Bronze,None,44.681835,-96.429592,800.0,180,0.045141,-0.998981,Interior_Prairie_Midwest,data/raw_vouchers/781489.jpg
781627,MIN,Packera paupercula (Michx.) Á.Löve & D.Löve,"Smith, Welby",Tier_3_Bronze,None,44.79727,-93.278291,800.0,174,0.147827,-0.989013,Interior_Prairie_Midwest,data/raw_vouchers/781627.jpg
3118115,NY,Packera paupercula (Michx.) Á.Löve & D.Löve,H. Marriott,Tier_3_Bronze,None,44.2234,-104.1635,969.0,193,-0.177529,-0.984116,Other_US,data/raw_vouchers/3118115.jpg
BHSC0054908,BHSC,Packera paupercula (Michx.) Á.Löve & D.Löve,"Hansen, Paul L.",Tier_3_Bronze,None,43.728403,-103.831665,613.0,199,-0.277979,-0.960587,Other_US,data/raw_vouchers/BHSC0054908.jpg
770058,MIN,Packera paupercula (Michx.) Á.Löve & D.Löve,Alison Mahoney & Sarah Soderholm,Tier_1_Gold,None,47.569465,-90.846718,800.0,179,0.062318,-0.998056,Interior_Prairie_Midwest,data/raw_vouchers/770058.jpg
