catalogNumber,institutionCode,species_raw,determiner_raw,determiner_tier,type_status,latitude,longitude,coordinateUncertainty,doy,pheno_sin,pheno_cos,regional_group,image_path
NCU00447408,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Basinger, Mark A.",Tier_2_Silver,None,35.766811,-77.85786,500.0,96,0.996751,-0.080549,Coastal_Plain_Sandhills,data/raw_vouchers/NCU00447408.jpg
NCU00438248,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,32.006565,-81.275328,100.0,132,0.764891,-0.644159,Appalachian_Highlands,data/raw_vouchers/NCU00438248.jpg
NCU00451272,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,32.00649,-81.27547,100.0,218,-0.571667,-0.820486,Appalachian_Highlands,data/raw_vouchers/NCU00451272.jpg
NCU00451271,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,32.00649,-81.27547,100.0,218,-0.571667,-0.820486,Appalachian_Highlands,data/raw_vouchers/NCU00451271.jpg
NCU00457404,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,31.98685,-81.28608,300.0,218,-0.571667,-0.820486,Appalachian_Highlands,data/raw_vouchers/NCU00457404.jpg
HXC006589,HXC,Packera tomentosa C.Jeffrey,Adam C. Schneider,Tier_3_Bronze,None,35.29523,-92.480402,6.0,132,0.764891,-0.644159,Appalachian_Highlands,data/raw_vouchers/HXC006589.jpg
HXC006286,HXC,Packera tomentosa C.Jeffrey,Adam C. Schneider,Tier_3_Bronze,None,34.97518,-92.31578,8.0,139,0.681972,-0.731378,Interior_Prairie_Midwest,data/raw_vouchers/HXC006286.jpg
NCU00438234,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,34.12574,-83.796982,100.0,135,0.730644,-0.682758,Piedmont_Granite_Flatrocks,data/raw_vouchers/NCU00438234.jpg
NCU00438236,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,33.658237,-84.120047,100.0,135,0.730644,-0.682758,Appalachian_Highlands,data/raw_vouchers/NCU00438236.jpg
NCU00438221,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,33.658237,-84.120047,100.0,140,0.66929,-0.743001,Appalachian_Highlands,data/raw_vouchers/NCU00438221.jpg
NCU00438232,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,34.12574,-83.796982,100.0,135,0.730644,-0.682758,Piedmont_Granite_Flatrocks,data/raw_vouchers/NCU00438232.jpg
NCU00438245,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,35.662678,-76.549554,100.0,132,0.764891,-0.644159,Coastal_Plain_Sandhills,data/raw_vouchers/NCU00438245.jpg
NCU00438235,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,33.658237,-84.120047,100.0,135,0.730644,-0.682758,Appalachian_Highlands,data/raw_vouchers/NCU00438235.jpg
NCU00438220,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,31.407996,-86.732739,100.0,134,0.742281,-0.670089,Interior_Prairie_Midwest,data/raw_vouchers/NCU00438220.jpg
NCU00438223,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,32.006563,-81.275257,100.0,133,0.753698,-0.657221,Appalachian_Highlands,data/raw_vouchers/NCU00438223.jpg
NCU00438214,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,31.407996,-86.732739,100.0,134,0.742281,-0.670089,Interior_Prairie_Midwest,data/raw_vouchers/NCU00438214.jpg
NCU00438244,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,32.006563,-81.275701,100.0,133,0.753698,-0.657221,Appalachian_Highlands,data/raw_vouchers/NCU00438244.jpg
NCU00227519,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,32.00649,-81.27547,100.0,133,0.753698,-0.657221,Appalachian_Highlands,data/raw_vouchers/NCU00227519.jpg
NCU00445859,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,31.78611,-85.89136,100.0,134,0.742281,-0.670089,Interior_Prairie_Midwest,data/raw_vouchers/NCU00445859.jpg
NCU00438219,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,38.514,-75.744,300.0,182,0.010751,-0.999942,Appalachian_Highlands,data/raw_vouchers/NCU00438219.jpg
NCU00438240,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,38.293,-75.505,300.0,182,0.010751,-0.999942,Appalachian_Highlands,data/raw_vouchers/NCU00438240.jpg
NCU00438242,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,36.67218,-75.91535,100.0,182,0.010751,-0.999942,Coastal_Plain_Sandhills,data/raw_vouchers/NCU00438242.jpg
NCU00438222,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,36.67185,-75.91505,100.0,182,0.010751,-0.999942,Coastal_Plain_Sandhills,data/raw_vouchers/NCU00438222.jpg
NCU00438239,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,38.293,-75.505,300.0,182,0.010751,-0.999942,Appalachian_Highlands,data/raw_vouchers/NCU00438239.jpg
NCU00438241,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,36.67218,-75.91535,100.0,182,0.010751,-0.999942,Coastal_Plain_Sandhills,data/raw_vouchers/NCU00438241.jpg
NCU00438218,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,38.807068,-75.481169,100.0,183,-0.006451,-0.999979,Appalachian_Highlands,data/raw_vouchers/NCU00438218.jpg
NCU00438216,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,35.33552,-94.03838,300.0,203,-0.343367,-0.939201,Interior_Prairie_Midwest,data/raw_vouchers/NCU00438216.jpg
NCU00438217,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,31.69,-92.436,1000.0,206,-0.391358,-0.920239,Coastal_Plain_Sandhills,data/raw_vouchers/NCU00438217.jpg
NCU00438233,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,38.562,-75.06,500.0,183,-0.006451,-0.999979,Appalachian_Highlands,data/raw_vouchers/NCU00438233.jpg
NCU00438246,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,34.98431,-94.68248,100.0,204,-0.359472,-0.933156,Interior_Prairie_Midwest,data/raw_vouchers/NCU00438246.jpg
NCU00438238,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,38.562,-75.06,300.0,183,-0.006451,-0.999979,Appalachian_Highlands,data/raw_vouchers/NCU00438238.jpg
NCU00438247,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,34.98431,-94.68248,100.0,204,-0.359472,-0.933156,Interior_Prairie_Midwest,data/raw_vouchers/NCU00438247.jpg
NCU00438215,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,35.33552,-94.03838,300.0,203,-0.343367,-0.939201,Interior_Prairie_Midwest,data/raw_vouchers/NCU00438215.jpg
NCU00438237,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,34.58694,-92.25419,100.0,203,-0.343367,-0.939201,Interior_Prairie_Midwest,data/raw_vouchers/NCU00438237.jpg
NCU00227517,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,33.57968,-91.98621,100.0,207,-0.407129,-0.91337,Interior_Prairie_Midwest,data/raw_vouchers/NCU00227517.jpg
NCU00445952,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,36.10642,-82.11087,100.0,187,-0.07519,-0.997169,Appalachian_Highlands,data/raw_vouchers/NCU00445952.jpg
NCU00227518,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,33.57968,-91.98621,100.0,207,-0.407129,-0.91337,Interior_Prairie_Midwest,data/raw_vouchers/NCU00227518.jpg
NCU00438253,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,35.662708,-76.549547,100.0,310,-0.813668,0.58133,Coastal_Plain_Sandhills,data/raw_vouchers/NCU00438253.jpg
NCU00438252,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,35.662708,-76.549547,100.0,310,-0.813668,0.58133,Coastal_Plain_Sandhills,data/raw_vouchers/NCU00438252.jpg
ANHC018788,ANHC,Packera tomentosa C.Jeffrey,Diana L. Soteropoulos,Tier_3_Bronze,None,34.595446,-91.095695,10.0,82,0.987196,0.159513,Interior_Prairie_Midwest,data/raw_vouchers/ANHC018788.jpg
ANHC018923,ANHC,Packera tomentosa C.Jeffrey,Diana L. Soteropoulos,Tier_3_Bronze,None,34.595497,-91.095656,10.0,103,0.979857,-0.199702,Interior_Prairie_Midwest,data/raw_vouchers/ANHC018923.jpg
NCU00388695,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,36.082335,-78.166652,100.0,141,0.656411,-0.754404,Piedmont_Granite_Flatrocks,data/raw_vouchers/NCU00388695.jpg
ANHC010906,ANHC,Packera tomentosa C.Jeffrey,Jennifer Reed,Tier_3_Bronze,None,35.49907,-90.73098,10.0,109,0.954067,-0.299595,Interior_Prairie_Midwest,data/raw_vouchers/ANHC010906.jpg
82167,WILLI,Packera tomentosa C.Jeffrey,"Baldwin, Patrick B",Tier_3_Bronze,None,36.92968,-76.546604,105.0,126,0.827189,-0.561923,Coastal_Plain_Sandhills,data/raw_vouchers/82167.jpg
82170,WILLI,Packera tomentosa C.Jeffrey,"Baldwin, Patrick B",Tier_3_Bronze,None,36.952594,-76.53272,411.0,126,0.827189,-0.561923,Coastal_Plain_Sandhills,data/raw_vouchers/82170.jpg
80073,WILLI,Packera tomentosa C.Jeffrey,"Baldwin, Patrick B",Tier_3_Bronze,None,36.371318,-75.931897,1660.0,113,0.93121,-0.364483,Coastal_Plain_Sandhills,data/raw_vouchers/80073.jpg
80077,WILLI,Packera tomentosa C.Jeffrey,"Baldwin, Patrick B",Tier_3_Bronze,None,37.445492,-76.530094,1470.0,119,0.888701,-0.458487,Coastal_Plain_Sandhills,data/raw_vouchers/80077.jpg
80078,WILLI,Packera tomentosa C.Jeffrey,"Baldwin, Patrick B",Tier_3_Bronze,None,36.952594,-76.53272,411.0,129,0.797102,-0.603845,Coastal_Plain_Sandhills,data/raw_vouchers/80078.jpg
HXC001260,HXC,Packera tomentosa C.Jeffrey,A. Bigott,Tier_3_Bronze,None,35.106432,-92.434888,120.0,96,0.996751,-0.080549,Interior_Prairie_Midwest,data/raw_vouchers/HXC001260.jpg
79683,WILLI,Packera tomentosa C.Jeffrey,"Baldwin, Patrick",Tier_3_Bronze,None,37.111526,-76.467244,1000.0,118,0.896456,-0.443132,Coastal_Plain_Sandhills,data/raw_vouchers/79683.jpg
3119562,NY,Packera tomentosa C.Jeffrey,W. D. Longbottom,Tier_3_Bronze,None,38.506168,-75.74646,110.51,116,0.911169,-0.412034,Appalachian_Highlands,data/raw_vouchers/3119562.jpg
NCU00143989,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,36.740816,-77.517384,300.0,118,0.896456,-0.443132,Coastal_Plain_Sandhills,data/raw_vouchers/NCU00143989.jpg
NCU00143995,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,38.385433,-75.354407,424.0,117,0.903946,-0.427646,Appalachian_Highlands,data/raw_vouchers/NCU00143995.jpg
NCU00091068,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,38.290472,-75.536583,100.0,119,0.888701,-0.458487,Appalachian_Highlands,data/raw_vouchers/NCU00091068.jpg
PH00820795,ANSP,Packera tomentosa C.Jeffrey,Wayne D. Longbottom,Tier_3_Bronze,None,38.286788,-75.365746,300.0,119,0.888701,-0.458487,Appalachian_Highlands,data/raw_vouchers/PH00820795.jpg
3119574,NY,Packera tomentosa C.Jeffrey,W. D. Longbottom,Tier_3_Bronze,None,39.046208,-75.821731,54.37,129,0.797102,-0.603845,Appalachian_Highlands,data/raw_vouchers/3119574.jpg
NCU00119626,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,38.480997,-75.750815,300.0,139,0.681972,-0.731378,Appalachian_Highlands,data/raw_vouchers/NCU00119626.jpg
NCU00119625,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,38.375241,-75.513979,301.0,136,0.718792,-0.695225,Appalachian_Highlands,data/raw_vouchers/NCU00119625.jpg
PH00820806,ANSP,Packera tomentosa C.Jeffrey,Wayne D Longbottom,Tier_3_Bronze,None,38.694281,-75.772155,2419.0,121,0.872404,-0.488785,Appalachian_Highlands,data/raw_vouchers/PH00820806.jpg
ANHC001158,ANHC,Packera tomentosa C.Jeffrey,Theo Witsell,Tier_3_Bronze,None,34.51019,-92.48983,100.0,97,0.995218,-0.097683,Coastal_Plain_Sandhills,data/raw_vouchers/ANHC001158.jpg
UARK012547,UARK,Packera tomentosa C.Jeffrey,Theo Witsell,Tier_3_Bronze,None,34.51019,-92.48983,100.0,97,0.995218,-0.097683,Coastal_Plain_Sandhills,data/raw_vouchers/UARK012547.jpg
UARK012563,UARK,Packera tomentosa C.Jeffrey,Lillis Urban; Jeremy Whisenhunt,Tier_3_Bronze,None,35.075232,-91.943468,625.0,102,0.983147,-0.182817,Interior_Prairie_Midwest,data/raw_vouchers/UARK012563.jpg
ODU00011145,ODU,Packera tomentosa C.Jeffrey,Mohammad S. Al-Zein,Tier_3_Bronze,None,36.461612,-76.971922,697.0,112,0.937342,-0.348411,Coastal_Plain_Sandhills,data/raw_vouchers/ODU00011145.jpg
ANHC001157,ANHC,Packera tomentosa C.Jeffrey,Theo Witsell,Tier_3_Bronze,None,34.57445,-92.2597,100.0,125,0.836733,-0.547611,Coastal_Plain_Sandhills,data/raw_vouchers/ANHC001157.jpg
CM554402,CM,Packera tomentosa C.Jeffrey,"Hansen, C.J.",Tier_3_Bronze,None,33.140722,-85.624944,50.0,86,0.995827,0.091261,Piedmont_Granite_Flatrocks,data/raw_vouchers/CM554402.jpg
UARK012478,UARK,Packera tomentosa C.Jeffrey,Sarah C. Nunn; Matt Nutt,Tier_3_Bronze,None,34.452418,-91.574978,273.0,154,0.472759,-0.881192,Interior_Prairie_Midwest,data/raw_vouchers/UARK012478.jpg
ANHC001156,ANHC,Packera tomentosa C.Jeffrey,Brent Baker,Tier_3_Bronze,None,34.84581,-91.883339,714.0,135,0.730644,-0.682758,Interior_Prairie_Midwest,data/raw_vouchers/ANHC001156.jpg
3119570,NY,Packera tomentosa C.Jeffrey,R. D. Thomas,Tier_3_Bronze,None,33.632236,-92.943652,969.0,104,0.976277,-0.216527,Interior_Prairie_Midwest,data/raw_vouchers/3119570.jpg
2424,CGCC,Packera tomentosa C.Jeffrey,"Cook, William E.",Tier_3_Bronze,None,35.697463,-77.165218,3300.0,119,0.888701,-0.458487,Coastal_Plain_Sandhills,data/raw_vouchers/2424.jpg
1048,NCSM,Packera tomentosa C.Jeffrey,"McMillan, Patrick D.",Tier_3_Bronze,None,35.866828,-76.748556,3518.0,76,0.965507,0.260376,Coastal_Plain_Sandhills,data/raw_vouchers/1048.jpg
BRIT559544,BRIT,Packera tomentosa C.Jeffrey,Debra Trock,Tier_1_Gold,None,33.7578,-94.6509,1609.0,62,0.875539,0.483147,Interior_Prairie_Midwest,data/raw_vouchers/BRIT559544.jpg
3119531,NY,Packera tomentosa C.Jeffrey,R. Kral,Tier_3_Bronze,None,33.608399,-93.6018,4524.0,109,0.954067,-0.299595,Interior_Prairie_Midwest,data/raw_vouchers/3119531.jpg
3119530,NY,Packera tomentosa C.Jeffrey,R. Kral,Tier_3_Bronze,None,34.781462,-91.486908,1595.0,107,0.963807,-0.266599,Interior_Prairie_Midwest,data/raw_vouchers/3119530.jpg
75943,WILLI,Packera tomentosa C.Jeffrey,"Baldwin, Patrick",Tier_3_Bronze,None,36.80376,-76.865452,73.0,116,0.911169,-0.412034,Coastal_Plain_Sandhills,data/raw_vouchers/75943.jpg
BAYLU034249,BAYLU,Packera tomentosa C.Jeffrey,Nomenclatural Adjustment,Tier_3_Bronze,None,33.131825,-93.970025,1184.0,66,0.906686,0.421806,Interior_Prairie_Midwest,data/raw_vouchers/BAYLU034249.jpg
BAYLU034250,BAYLU,Packera tomentosa C.Jeffrey,Nomenclatural Adjustment,Tier_3_Bronze,None,33.233542,-93.98426,2500.0,127,0.817401,-0.576069,Interior_Prairie_Midwest,data/raw_vouchers/BAYLU034250.jpg
80479,WILLI,Packera tomentosa C.Jeffrey,"Ware, Donna M E",Tier_3_Bronze,None,37.196957,-77.407676,1000.0,171,0.198648,-0.980071,Coastal_Plain_Sandhills,data/raw_vouchers/80479.jpg
305300,KU,Packera tomentosa C.Jeffrey,Deb K. Trock,Tier_1_Gold,None,33.895586,-94.686493,4227.0,85,0.99411,0.108377,Interior_Prairie_Midwest,data/raw_vouchers/305300.jpg
3119532,NY,Packera tomentosa C.Jeffrey,D. K. Trock,Tier_1_Gold,None,33.663109,-94.209552,2384.0,85,0.99411,0.108377,Interior_Prairie_Midwest,data/raw_vouchers/3119532.jpg
3119600,NY,Packera tomentosa C.Jeffrey,D. K. Trock,Tier_1_Gold,None,33.855206,-94.652711,2562.0,85,0.99411,0.108377,Interior_Prairie_Midwest,data/raw_vouchers/3119600.jpg
GA079594,GA,Packera tomentosa C.Jeffrey,"Moore, M",Tier_3_Bronze,None,33.814042,-84.139715,59.0,94,0.998932,-0.046215,Piedmont_Granite_Flatrocks,data/raw_vouchers/GA079594.jpg
GA079554,GA,Packera tomentosa C.Jeffrey,"Moore, M",Tier_3_Bronze,None,33.811804,-84.140788,183.0,87,0.99725,0.074117,Appalachian_Highlands,data/raw_vouchers/GA079554.jpg
BAYLU034247,BAYLU,Packera tomentosa C.Jeffrey,W.C. Holmes,Tier_3_Bronze,None,33.168837,-92.625179,2558.0,75,0.960885,0.276946,Interior_Prairie_Midwest,data/raw_vouchers/BAYLU034247.jpg
MARY1052504,MARY,Packera tomentosa C.Jeffrey,Deborah W. Rowan,Tier_3_Bronze,None,38.657075,-75.623007,250.0,123,0.855075,-0.518505,Appalachian_Highlands,data/raw_vouchers/MARY1052504.jpg
MARY1052509,MARY,Packera tomentosa C.Jeffrey,Wayne D. Longbottom; Deborah W. Rowan,Tier_3_Bronze,None,38.188679,-75.747493,1000.0,148,0.561034,-0.827793,Appalachian_Highlands,data/raw_vouchers/MARY1052509.jpg
MARY1052508,MARY,Packera tomentosa C.Jeffrey,Deborah W. Rowan; Wayne D. Longbottom,Tier_3_Bronze,None,38.488361,-75.819039,2530.0,148,0.561034,-0.827793,Appalachian_Highlands,data/raw_vouchers/MARY1052508.jpg
NCU00377929,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,34.804987,-82.694699,200.0,122,0.863867,-0.50372,Piedmont_Granite_Flatrocks,data/raw_vouchers/NCU00377929.jpg
CLEMS0035134,CLEMS,Packera tomentosa C.Jeffrey,"Trock, D.",Tier_1_Gold,None,34.804987,-82.694699,200.0,122,0.863867,-0.50372,Piedmont_Granite_Flatrocks,data/raw_vouchers/CLEMS0035134.jpg
NCU00377918,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,35.087307,-82.598078,1417.0,156,0.442168,-0.896932,Appalachian_Highlands,data/raw_vouchers/NCU00377918.jpg
ODU00011146,ODU,Packera tomentosa C.Jeffrey,Gregory M. Plunkett; G.W. Hall,Tier_3_Bronze,None,36.985509,-76.825328,199.0,106,0.968251,-0.249981,Coastal_Plain_Sandhills,data/raw_vouchers/ODU00011146.jpg
ASC00043485,ASC,Packera tomentosa C.Jeffrey,Nomenclatural Adjustment,Tier_3_Bronze,None,30.481311,-92.678853,4417.0,59,0.84945,0.527668,Interior_Prairie_Midwest,data/raw_vouchers/ASC00043485.jpg
NCU00097019,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,32.41558,-92.303846,969.0,83,0.989794,0.142508,Coastal_Plain_Sandhills,data/raw_vouchers/NCU00097019.jpg
335048,WS,Packera tomentosa C.Jeffrey,Nomenclature update,Tier_3_Bronze,None,33.202604,-92.020218,1000.0,85,0.99411,0.108377,Interior_Prairie_Midwest,data/raw_vouchers/335048.jpg
NCU00097021,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,32.15302,-92.286533,969.0,94,0.998932,-0.046215,Coastal_Plain_Sandhills,data/raw_vouchers/NCU00097021.jpg
CLEMS0035210,CLEMS,Packera tomentosa C.Jeffrey,"Trock, Debra",Tier_1_Gold,None,32.15302,-92.286533,969.0,94,0.998932,-0.046215,Coastal_Plain_Sandhills,data/raw_vouchers/CLEMS0035210.jpg
NCU00385174,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,36.841649,-76.210874,301.0,124,0.846029,-0.533137,Coastal_Plain_Sandhills,data/raw_vouchers/NCU00385174.jpg
ODU00011147,ODU,Packera tomentosa C.Jeffrey,Rebecca Bray,Tier_3_Bronze,None,36.841695,-76.21057,141.0,124,0.846029,-0.533137,Coastal_Plain_Sandhills,data/raw_vouchers/ODU00011147.jpg
ODU00011111,ODU,Packera tomentosa C.Jeffrey,Rebecca D. Bray,Tier_3_Bronze,None,36.841695,-76.21057,141.0,124,0.846029,-0.533137,Coastal_Plain_Sandhills,data/raw_vouchers/ODU00011111.jpg
ODU00011109,ODU,Packera tomentosa C.Jeffrey,J. Patrick Megonigal,Tier_3_Bronze,None,36.818511,-76.856894,1158.0,153,0.487847,-0.872929,Coastal_Plain_Sandhills,data/raw_vouchers/ODU00011109.jpg
52033,WILLI,Packera tomentosa C.Jeffrey,"Trock, Debra",Tier_1_Gold,None,37.659156,-76.732836,2703.0,127,0.817401,-0.576069,Coastal_Plain_Sandhills,data/raw_vouchers/52033.jpg
NLU0083656,BRIT,Packera tomentosa C.Jeffrey,Debra Trock,Tier_1_Gold,None,32.663585,-96.126709,1159.0,69,0.927238,0.374474,Interior_Prairie_Midwest,data/raw_vouchers/NLU0083656.jpg
ODU00011115,ODU,Packera tomentosa C.Jeffrey,Joan B. Wright; Judith L. Kernell,Tier_3_Bronze,None,36.916241,-76.051773,126.0,104,0.976277,-0.216527,Coastal_Plain_Sandhills,data/raw_vouchers/ODU00011115.jpg
LFCC-0013686,LFCC,Packera tomentosa C.Jeffrey,R. C. Simpson,Tier_3_Bronze,None,36.638762,-76.52356,68.0,134,0.742281,-0.670089,Coastal_Plain_Sandhills,data/raw_vouchers/LFCC-0013686.jpg
ODU00011113,ODU,Packera tomentosa C.Jeffrey,Gretchen North; G.W. Hall,Tier_3_Bronze,None,37.548229,-76.441531,120.0,140,0.66929,-0.743001,Coastal_Plain_Sandhills,data/raw_vouchers/ODU00011113.jpg
43540,WILLI,Packera tomentosa C.Jeffrey,"Trock, Debra",Tier_1_Gold,None,37.609858,-76.440028,2001.0,124,0.846029,-0.533137,Coastal_Plain_Sandhills,data/raw_vouchers/43540.jpg
44124,WILLI,Packera tomentosa C.Jeffrey,"Trock, Debra",Tier_1_Gold,None,37.548212,-76.4446,890.0,140,0.66929,-0.743001,Coastal_Plain_Sandhills,data/raw_vouchers/44124.jpg
NCU00377792,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,34.458222,-78.110306,500.0,87,0.99725,0.074117,Piedmont_Granite_Flatrocks,data/raw_vouchers/NCU00377792.jpg
NCU00384959,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,30.928686,-92.49303,969.0,88,0.998377,0.056952,Coastal_Plain_Sandhills,data/raw_vouchers/NCU00384959.jpg
34951,WILLI,Packera tomentosa C.Jeffrey,"Trock, Debra",Tier_1_Gold,None,37.456604,-76.381333,503.0,144,0.616621,-0.78726,Coastal_Plain_Sandhills,data/raw_vouchers/34951.jpg
GA079547,GA,Packera tomentosa C.Jeffrey,"Kral, R",Tier_3_Bronze,None,33.770368,-84.105194,2065.0,97,0.995218,-0.097683,Piedmont_Granite_Flatrocks,data/raw_vouchers/GA079547.jpg
32683,WILLI,Packera tomentosa C.Jeffrey,"Trock, Debra",Tier_1_Gold,None,36.595622,-76.378583,480.0,111,0.943196,-0.332235,Coastal_Plain_Sandhills,data/raw_vouchers/32683.jpg
NCU00385156,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,30.779041,-85.620606,461.0,75,0.960885,0.276946,Coastal_Plain_Sandhills,data/raw_vouchers/NCU00385156.jpg
29225,WILLI,Packera tomentosa C.Jeffrey,"Trock, Debra",Tier_1_Gold,None,37.263008,-76.443019,1550.0,124,0.846029,-0.533137,Coastal_Plain_Sandhills,data/raw_vouchers/29225.jpg
NCU00385190,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,31.687748,-86.266289,300.0,94,0.998932,-0.046215,Interior_Prairie_Midwest,data/raw_vouchers/NCU00385190.jpg
LFCC-0006183,LFCC,Packera tomentosa C.Jeffrey,R. C. Simpson,Tier_3_Bronze,None,36.693655,-76.50578,3185.0,117,0.903946,-0.427646,Coastal_Plain_Sandhills,data/raw_vouchers/LFCC-0006183.jpg
UARK012516,UARK,Packera tomentosa C.Jeffrey,Edwin B. Smith,Tier_3_Bronze,None,34.085586,-91.937498,186.0,113,0.93121,-0.364483,Interior_Prairie_Midwest,data/raw_vouchers/UARK012516.jpg
NCU00377795,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,35.513179,-80.343689,544.0,274,-0.999999,0.001075,Piedmont_Granite_Flatrocks,data/raw_vouchers/NCU00377795.jpg
NCU00384962,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,31.357248,-93.176399,1148.0,74,0.955979,0.293434,Coastal_Plain_Sandhills,data/raw_vouchers/NCU00384962.jpg
NCU00385170,NCU,Packera dubia (Spreng.) Trock & Mabb.,"Fuller, J. Brandon",Tier_1_Gold,None,31.808819,-81.489065,300.0,109,0.954067,-0.299595,Coastal_Plain_Sandhills,data/raw_vouchers/NCU00385170.jpg
